ID,T1,T2,rep,start_date,death_date,days_to_death,OC_inf,OC_spores,HT_inf,HT_spores,total_offspring
40,both,N,1,25/01/2022,27/02/2022,33,1,3,0,,107
41,both,N,2,25/01/2022,01/03/2022,35,1,52,0,,127
42,both,N,3,25/01/2022,23/02/2022,29,1,153,1,8000,151
43,both,N,4,25/01/2022,25/02/2022,31,1,751,1,13000,121
44,both,N,5,25/01/2022,05/03/2022,39,0,,1,10000,149
45,both,N,6,25/01/2022,28/02/2022,34,1,909,1,21000,130
46,N,both,1,25/01/2022,06/03/2022,40,1,140,0,,148
47,N,both,2,25/01/2022,08/03/2022,42,1,7,1,42000,161
48,N,both,3,25/01/2022,09/03/2022,43,0,,1,52000,150
49,N,both,4,25/01/2022,11/03/2022,45,1,5,1,120000,141
50,N,both,5,25/01/2022,07/03/2022,41,1,9,1,51000,192
51,N,both,6,25/01/2022,06/03/2022,40,1,250,1,63000,217
52,N,N,4,25/01/2022,06/05/2022,101,,,,,509
53,N,N,5,25/01/2022,06/04/2022,71,,,,,352
54,N,N,6,25/01/2022,02/05/2022,97,,,,,215
55,OC,N,7,25/01/2022,10/03/2022,44,1,0,,,75
56,OC,N,8,25/01/2022,11/03/2022,45,0,,,,142
57,OC,N,9,25/01/2022,28/02/2022,34,1,2,,,93
58,OC,N,10,25/01/2022,20/05/2022,115,0,,,,130
59,OC,N,11,25/01/2022,04/05/2022,99,1,,,,116
60,OC,N,12,25/01/2022,06/05/2022,101,1,1290,,,174
61,HT,N,7,25/01/2022,27/03/2022,61,,,1,926000,212
62,HT,N,8,25/01/2022,27/03/2022,61,,,1,5870000,263
63,HT,N,9,25/01/2022,21/03/2022,55,,,1,205000,212
64,HT,N,10,25/01/2022,30/04/2022,95,,,0,,375
65,HT,N,11,25/01/2022,29/03/2022,63,,,1,3990000,223
66,HT,N,12,25/01/2022,29/03/2022,63,,,1,6985000,192
67,N,OC,7,25/01/2022,05/03/2022,39,1,12,,,150
68,N,OC,8,25/01/2022,08/03/2022,42,0,,,,215
69,N,OC,9,25/01/2022,12/03/2022,46,0,,,,168
70,N,OC,10,25/01/2022,09/03/2022,43,1,31,,,190
71,N,OC,11,25/01/2022,15/03/2022,49,1,544,,,201
72,N,OC,12,25/01/2022,11/05/2022,106,1,907,,,197
73,N,HT,7,25/01/2022,30/03/2022,64,,,1,1985000,217
74,N,HT,8,25/01/2022,18/03/2022,52,,,0,,246
75,N,HT,9,25/01/2022,06/05/2022,101,,,0,,452
76,N,HT,10,25/01/2022,04/04/2022,69,,,1,3410000,324
77,N,HT,11,25/01/2022,06/04/2022,71,,,1,419000,273
